::1 - - [11/Mar/2015:14:38:24 +0100] "GET / HTTP/1.1" 200 2158
::1 - - [11/Mar/2015:14:38:29 +0100] "GET /favicon.ico HTTP/1.1" 404 209
::1 - - [11/Mar/2015:14:38:34 +0100] "GET /webshop.php HTTP/1.1" 200 6739
::1 - - [11/Mar/2015:14:39:54 +0100] "GET /product.php?id=2 HTTP/1.1" 200 3958
::1 - - [11/Mar/2015:14:48:39 +0100] "GET /product.php HTTP/1.1" 200 2442
::1 - - [11/Mar/2015:14:48:49 +0100] "GET /product.php HTTP/1.1" 200 2442
::1 - - [11/Mar/2015:14:48:56 +0100] "GET /product.php HTTP/1.1" 200 2442
::1 - - [11/Mar/2015:14:52:03 +0100] "GET /product.php?id=2 HTTP/1.1" 200 3964
::1 - - [11/Mar/2015:14:52:04 +0100] "GET /css/main.css HTTP/1.1" 200 9179
::1 - - [11/Mar/2015:14:52:04 +0100] "GET /items/nsmb2.jpg HTTP/1.1" 304 -
::1 - - [11/Mar/2015:14:52:04 +0100] "GET /items/sm3dl.jpg HTTP/1.1" 304 -
::1 - - [11/Mar/2015:14:52:04 +0100] "GET /items/sm3dw.jpg HTTP/1.1" 304 -
::1 - - [11/Mar/2015:14:52:04 +0100] "GET /img/background.gif HTTP/1.1" 304 -
::1 - - [11/Mar/2015:14:52:04 +0100] "GET /img/mk7_ad.png HTTP/1.1" 304 -
::1 - - [11/Mar/2015:14:52:04 +0100] "GET /img/bg_footer.gif HTTP/1.1" 304 -
::1 - - [11/Mar/2015:14:52:04 +0100] "GET /img/bg_productbox.gif HTTP/1.1" 304 -
::1 - - [11/Mar/2015:14:52:04 +0100] "GET /img/bg_navbar.gif HTTP/1.1" 304 -
::1 - - [11/Mar/2015:14:52:04 +0100] "GET /img/bg_logo.png HTTP/1.1" 304 -
::1 - - [11/Mar/2015:14:52:39 +0100] "GET /product.php?id=2 HTTP/1.1" 200 3964
::1 - - [11/Mar/2015:14:52:39 +0100] "GET /css/main.css HTTP/1.1" 304 -
::1 - - [11/Mar/2015:14:52:39 +0100] "GET /items/sm3dl.jpg HTTP/1.1" 304 -
::1 - - [11/Mar/2015:14:52:39 +0100] "GET /items/nsmb2.jpg HTTP/1.1" 304 -
::1 - - [11/Mar/2015:14:52:39 +0100] "GET /items/sm3dw.jpg HTTP/1.1" 304 -
::1 - - [11/Mar/2015:14:52:56 +0100] "GET /phpmyadmin HTTP/1.1" 301 241
::1 - - [11/Mar/2015:14:52:56 +0100] "GET /phpmyadmin/ HTTP/1.1" 200 7992
::1 - - [11/Mar/2015:14:52:57 +0100] "GET /phpmyadmin/js/get_scripts.js.php?scripts[]=jquery/jquery-1.8.3.js&scripts[]=ajax.js&scripts[]=keyhandler.js&scripts[]=jquery/jquery-ui-1.9.2.custom.js&scripts[]=jquery/jquery.sprintf.js&scripts[]=jquery/jquery.cookie.js&scripts[]=jquery/jquery.mousewheel.js&scripts[]=jquery/jquery.event.drag-2.2.js&scripts[]=jquery/jquery-ui-timepicker-addon.js&scripts[]=jquery/jquery.ba-hashchange-1.3.js&scripts[]=jquery/jquery.debounce-1.0.5.js&scripts[]=jquery/jquery.menuResizer-1.0.js&scripts[]=rte.js&scripts[]=functions.js&scripts[]=navigation.js&scripts[]=indexes.js&scripts[]=common.js&scripts[]=codemirror/lib/codemirror.js&scripts[]=codemirror/mode/mysql/mysql.js HTTP/1.1" 200 578562
::1 - - [11/Mar/2015:14:52:57 +0100] "GET /phpmyadmin/phpmyadmin.css.php?server=1&token=cc8f96d769480bef835d5f76db704a0b&nocache=4276165873ltr HTTP/1.1" 200 88608
::1 - - [11/Mar/2015:14:52:57 +0100] "GET /phpmyadmin/js/get_image.js.php?theme=pmahomme HTTP/1.1" 200 6263
::1 - - [11/Mar/2015:14:52:57 +0100] "GET /phpmyadmin/js/messages.php?lang=nl&db=&server=0&token=d40688a2b6bec66dba273f5c80421f8f HTTP/1.1" 200 18194
::1 - - [11/Mar/2015:14:53:01 +0100] "POST /phpmyadmin/index.php HTTP/1.1" 302 -
::1 - - [11/Mar/2015:14:53:01 +0100] "GET /phpmyadmin/index.php?token=cc8f96d769480bef835d5f76db704a0b HTTP/1.1" 200 44715
::1 - - [11/Mar/2015:14:53:02 +0100] "GET /phpmyadmin/phpmyadmin.css.php?server=1&token=cc8f96d769480bef835d5f76db704a0b&nocache=5702247854ltr HTTP/1.1" 200 88608
::1 - - [11/Mar/2015:14:53:02 +0100] "GET /phpmyadmin/js/messages.php?lang=nl&db=&server=0&token=cc8f96d769480bef835d5f76db704a0b HTTP/1.1" 200 18194
